frame_number,landmark,x,y,z
1,NOSE,0.3525,0.2407,-0.3831
1,LEFT_EYE_INNER,0.3649,0.2293,-0.3723
1,LEFT_EYE,0.3697,0.2304,-0.3723
1,LEFT_EYE_OUTER,0.3747,0.2318,-0.3723
1,RIGHT_EYE_INNER,0.3549,0.2276,-0.3621
1,RIGHT_EYE,0.3526,0.2277,-0.3621
1,RIGHT_EYE_OUTER,0.3508,0.2278,-0.3621
1,LEFT_EAR,0.385,0.245,-0.2716
1,RIGHT_EAR,0.3553,0.2398,-0.2251
1,MOUTH_LEFT,0.359,0.2585,-0.3434
1,MOUTH_RIGHT,0.3481,0.256,-0.3302
1,LEFT_SHOULDER,0.4275,0.3509,-0.1947
1,RIGHT_SHOULDER,0.3166,0.3437,-0.1066
1,LEFT_ELBOW,0.4471,0.4742,-0.1342
1,RIGHT_ELBOW,0.2941,0.4599,-0.0164
1,LEFT_WRIST,0.4525,0.5817,-0.2083
1,RIGHT_WRIST,0.2776,0.5617,-0.1129
1,LEFT_PINKY,0.4531,0.6097,-0.2353
1,RIGHT_PINKY,0.2723,0.5925,-0.1376
1,LEFT_INDEX,0.4455,0.6077,-0.2711
1,RIGHT_INDEX,0.2774,0.5918,-0.1815
1,LEFT_THUMB,0.442,0.5993,-0.2219
1,RIGHT_THUMB,0.2818,0.5811,-0.1331
1,LEFT_HIP,0.4001,0.5742,-0.0157
1,RIGHT_HIP,0.3322,0.57,0.0155
1,LEFT_KNEE,0.3961,0.7414,-0.033
1,RIGHT_KNEE,0.3333,0.7391,0.0137
1,LEFT_ANKLE,0.3931,0.8919,0.222
1,RIGHT_ANKLE,0.3314,0.8892,0.2516
1,LEFT_HEEL,0.3852,0.9077,0.2376
1,RIGHT_HEEL,0.3406,0.9059,0.2657
1,LEFT_FOOT_INDEX,0.3912,0.954,0.0824
1,RIGHT_FOOT_INDEX,0.3129,0.9516,0.1148
2,NOSE,0.3548,0.241,-0.387
2,LEFT_EYE_INNER,0.3665,0.23,-0.3731
2,LEFT_EYE,0.3713,0.2312,-0.3731
2,LEFT_EYE_OUTER,0.3761,0.2326,-0.3731
2,RIGHT_EYE_INNER,0.3558,0.2283,-0.3658
2,RIGHT_EYE,0.3534,0.2283,-0.3659
2,RIGHT_EYE_OUTER,0.3512,0.2284,-0.3659
2,LEFT_EAR,0.3856,0.2451,-0.2593
2,RIGHT_EAR,0.3553,0.2398,-0.2269
2,MOUTH_LEFT,0.3621,0.2594,-0.3434
2,MOUTH_RIGHT,0.3495,0.2564,-0.3335
2,LEFT_SHOULDER,0.4275,0.3493,-0.1786
2,RIGHT_SHOULDER,0.3164,0.3421,-0.1102
2,LEFT_ELBOW,0.4473,0.4736,-0.1157
2,RIGHT_ELBOW,0.2944,0.46,-0.0317
